algo,score,time,result
1,0,137.33665013313293,lose
1,0,141.07605504989624,lose
1,0,143.27906107902527,lose
1,3,30.710479497909546,lose
1,0,38.22932457923889,lose
1,0,11.266766548156738,lose
1,0,17.569506645202637,lose
1,2,44.08416986465454,lose
1,1,67.5295341014862,lose
1,4,15.618727684020996,lose
1,0,5.304831266403198,lose
1,0,6.865260362625122,lose
1,0,12.140560150146484,lose
1,2,20.8229718208313,lose
1,0,34.55398392677307,lose
1,0,37.74488949775696,lose
1,0,44.275349140167236,lose
1,0,53.12690782546997,lose
1,1,7.693012475967407,lose
1,2,22.661643505096436,lose
1,2,32.647242069244385,lose
1,1,45.61055636405945,lose
1,1,56.38688254356384,lose
1,1,64.78203773498535,lose
1,0,69.92472171783447,lose
1,0,75.52434039115906,lose
1,1,81.23352789878845,lose
1,0,81.38867020606995,lose
1,0,90.77772450447083,lose
1,0,93.6018009185791,lose
1,1,97.45732045173645,lose
1,0,102.00745916366577,lose
1,0,106.2768566608429,lose
1,1,112.54256224632263,lose
1,0,120.06792187690735,lose
1,0,124.90282988548279,lose
1,0,130.68810033798218,lose
1,0,133.3505380153656,lose
1,0,135.26076984405518,lose
1,0,1.9047503471374512,lose
1,0,9.821450471878052,lose
1,0,11.830279111862183,lose
1,1,2.247044086456299,win
1,1,0.14313125610351562,win
1,1,1.3031871318817139,lose
1,0,2.0018224716186523,lose
1,0,2.246044874191284,lose
1,0,2.280076026916504,win
1,0,3.2829883098602295,lose
1,0,3.333034038543701,lose
1,0,3.901552438735962,lose
1,0,4.380987167358398,lose
1,0,5.40191650390625,lose
1,0,5.547049045562744,lose
1,0,6.116568088531494,lose
1,1,6.1656200885772705,win
1,1,9.815439462661743,lose
1,0,9.865485191345215,lose
1,0,21.93396234512329,lose
1,0,22.837799787521362,lose
1,1,22.88783025741577,win
1,0,1.2631642818450928,lose
1,1,4.159785032272339,win
1,1,4.891450643539429,lose
1,1,7.295638799667358,win
1,1,7.786085844039917,win
1,1,8.828539609909058,lose
1,0,9.081770181655884,lose
1,1,10.652207374572754,win
1,1,3.5252082347869873,win
1,0,0.12911772727966309,lose
1,0,1.009917974472046,lose
1,1,0.966881275177002,win
1,1,1.608466625213623,lose
1,0,0.6045501232147217,lose
1,1,0.6255826950073242,win
1,1,4.678253889083862,win
1,0,1.1080076694488525,lose
1,1,1.2090997695922852,win
1,1,1.0519564151763916,win
1,1,1.0949962139129639,win
1,1,0.6656067371368408,win
1,0,0.3883535861968994,lose
1,1,0.43840694427490234,win
1,1,12.078505277633667,win
1,1,87.7669289112091,win
1,1,6.204646825790405,win
1,0,14.217461824417114,lose
1,0,25.73142981529236,lose
1,0,30.13794493675232,lose
1,1,30.56433367729187,win
1,0,35.84714102745056,lose
1,0,43.353479623794556,lose
1,0,45.22017765045166,lose
1,0,45.25420904159546,win
1,0,52.011863708496094,lose
1,0,58.09740376472473,lose
1,0,64.17744326591492,lose
1,0,68.9087655544281,lose
1,60,16.423454523086548,lose
1,87,34.90628790855408,lose
1,30,44.9929735660553,lose
1,76,65.32048797607422,lose
1,58,83.84937691688538,lose
1,1,85.41280961036682,lose
1,2,93.71687507629395,lose
1,7,100.74326300621033,lose
1,2,107.40283131599426,lose
1,2,113.06298422813416,lose
1,8,121.3780586719513,lose
1,1,124.57747554779053,lose
1,2,127.47211241722107,lose
1,2,136.22058296203613,lose
1,1,141.12105679512024,lose
1,2,141.59146976470947,lose
1,1,142.08291792869568,lose
1,2,146.53447461128235,lose
1,2,149.23493361473083,lose
1,2,154.23048305511475,lose
1,2,161.7668492794037,lose
1,2,169.29120445251465,lose
1,2,174.82524394989014,lose
1,2,177.82748126983643,lose
1,2,182.28153705596924,lose
1,2,189.45857667922974,lose
1,42,12.243651866912842,lose
